Price,Close,High,Low,Open,Volume
Ticker,0700.HK,0700.HK,0700.HK,0700.HK,0700.HK
Date,,,,,
2023-01-03,319.9666748046875,320.522804090236,304.7654899859837,309.58537640252223,31541576
2023-01-04,334.61175537109375,334.61175537109375,323.4889305677102,324.4158227071462,39409103
2023-01-05,339.4229431152344,353.47613126675833,335.3241213898212,349.3772797588076,40803927
2023-01-06,340.984375,350.7435158401977,338.44699242504174,345.0832260658967,27092487
2023-01-09,353.2809143066406,353.6712740013011,343.1314133327912,346.4495154112083,28323733
2023-01-10,353.6712951660156,356.9893974429976,348.4013645163928,356.20867800695623,19854116
2023-01-11,364.79669189453125,369.6762625714647,357.7701279892686,360.8930353529845,35722217
2023-01-12,355.2327575683594,370.45702456351074,347.8158039263588,369.87147010551706,40547528
2023-01-13,362.45452880859375,363.4304430109769,347.6206508018926,355.8183241454035,20970696
2023-01-16,361.283447265625,367.334097411192,355.2327673375203,363.2352756575894,19986153
2023-01-17,364.79669189453125,366.55335520774884,357.1845735515294,361.67378453081534,16103837
2023-01-18,370.8473815917969,371.82329575388053,362.0641541330438,370.8473815917969,27122730
2023-01-19,373.5799255371094,375.7269485848948,365.57744735884904,367.9196353675463,17351698
2023-01-20,382.3631896972656,382.7535792217251,375.7269847370044,380.60655596735506,16863710
2023-01-26,397.00189208984375,397.00189208984375,388.80421861266404,390.3656873184455,23729091
2023-01-27,405.0043640136719,406.5658325784245,399.1488792327513,400.3199881019497,18625209
2023-01-30,377.87396240234375,401.10070674358064,374.75102527867386,397.78260466376616,53626689
2023-01-31,372.994384765625,387.43790168102186,364.7966824153637,380.6065029108275,55756238
2023-02-01,375.7269287109375,377.6787569120333,364.60151392119855,376.3124831277732,31418879
2023-02-02,373.7751159667969,382.55834323494616,372.01848242618144,379.6306008122297,23755405
2023-02-03,375.7269287109375,377.2883972283211,366.3581473891708,372.40882672558166,25941959
2023-02-06,367.7244567871094,370.84739412432936,359.72197825710697,366.1630179010371,25591052
2023-02-07,370.8473815917969,376.7028665642989,368.30999881387197,371.82329575388053,19801656
2023-02-08,372.994384765625,377.4835658457246,368.70033885547474,374.55582351564135,17269537
2023-02-09,386.0716247558594,387.4378985423228,370.84735880625357,372.0184676418136,26660695
2023-02-10,374.16546630859375,387.633098985779,373.38474692841,385.4860760164706,24606130
2023-02-13,377.28839111328125,379.2402192827421,367.5292502659772,370.0666328427831,20355691
2023-02-14,369.4811096191406,378.2643371230067,368.89555516237556,377.6787826662416,17932457
2023-02-15,367.9196472167969,372.99441288452624,363.4304360157343,372.99441288452624,16498472
2023-02-16,373.384765625,383.3390722421967,369.8714686731801,371.62810225782164,21914350
2023-02-17,364.79669189453125,378.0691300922974,364.0159724992362,375.92213686396826,17721575
2023-02-20,367.9196472167969,369.67628083426,360.3075284977401,362.6497165818701,12312675
2023-02-21,353.08575439453125,366.35819379985776,349.5724870135219,366.16302882454534,29313236
2023-02-22,347.4254455566406,354.256844767024,339.22777246068796,347.03508584398327,33151555
2023-02-23,347.4254455566406,354.64720447968136,340.0084918860027,342.3506799444839,19433112
2023-02-24,340.984375,346.64469455683525,339.0325468319605,342.54584349093847,24415893
2023-02-27,340.984375,345.86394542009884,334.5433360889627,336.6903589868199,20480043
2023-02-28,335.3241271972656,348.986926083676,335.3241271972656,343.7169953268539,26006206
2023-03-01,359.9171142578125,361.868942490843,337.66628431427876,339.03255812089304,35607254
2023-03-02,354.0616149902344,360.11229417667727,353.67125531619735,359.3315748286032,14796574
2023-03-03,358.74603271484375,365.7725964358015,355.6230956505058,363.23524357637893,17784504
2023-03-06,354.2568664550781,359.7219921144742,351.91467825320524,355.23278068773675,12628083
2023-03-07,348.4013671875,359.9171427613547,346.4495387998949,354.06165759853957,17037998
2023-03-08,341.1795959472656,343.13142426529055,336.690384859301,341.5699556543633,21208344
2023-03-09,332.0060119628906,340.7892394774376,332.0060119628906,339.61813056248326,17274863
2023-03-10,323.6131286621094,330.0541678208389,322.63721454056054,324.9794024757707,37596411
2023-03-13,336.4952087402344,343.1314432583713,329.27344952030916,332.20119215940355,27127633
2023-03-14,333.3722839355469,344.10733972527004,330.8349011560141,333.17708918999176,21324692
2023-03-15,336.3000183105469,345.27841052128406,335.9096586113907,341.96030840465215,16570551
2023-03-16,327.90716552734375,336.6903931753976,325.76014241147124,332.20118197655154,23728825
2023-03-17,331.2252502441406,338.2518439033089,331.2252502441406,332.59152407160786,29033159
2023-03-20,326.73602294921875,331.22523368579215,323.02756134826444,328.8830458440034,20437066
2023-03-21,335.3241271972656,338.6422295417434,322.44204776277775,326.7360643134277,21276362
2023-03-22,338.83740234375,345.083246902095,337.86148820080433,338.6422076021464,19654793
2023-03-23,366.5533752441406,366.74854021236445,343.91215415254976,345.08326309204284,46850205
2023-03-24,367.7244567871094,378.0691532112956,365.7726283969813,370.84739412432936,33215505
2023-03-27,354.0616149902344,368.8955208639133,353.8664500444829,365.5774189607976,25798653
2023-03-28,369.0907287597656,371.82327635804427,357.9652840663315,357.9652840663315,31337657
2023-03-29,375.5317687988281,388.02348831365106,372.79922097693367,387.43793384252007,36095299
2023-03-30,375.7269287109375,380.41130448055344,371.04255294132156,380.41130448055344,25243232
2023-03-31,376.5076599121094,384.51016770113716,374.75102638892554,380.6065111762525,25957481
2023-04-03,378.8498840332031,381.5824317336264,375.7269468476884,379.6306034383137,18773494
2023-04-04,375.7269287109375,379.24022542941685,372.99438114241735,373.9702952429652,14254252
2023-04-06,376.1173095703125,378.26433262541065,371.43293353696293,374.75103570913024,14945689
2023-04-11,367.5292663574219,380.60650970886024,362.45450098162286,379.6305955814016,21931068
2023-04-12,348.5965270996094,362.6496841293482,345.6687848108082,362.064129715081,40470596
2023-04-13,354.4520263671875,355.23274576354356,339.03256513760005,341.5699478495611,24956481
2023-04-14,356.5990295410156,359.33160706952253,350.35318484841474,357.5749437049388,12744724
2023-04-17,362.06414794921875,363.04006209463444,351.71945205130527,355.8183033750656,15710199
2023-04-18,356.5990295410156,362.0641548154927,352.30501317626107,362.0641548154927,13686354
2023-04-19,348.5965270996094,354.2568169449445,346.449504174808,354.2568169449445,16279391
2023-04-20,348.4013671875,352.8905784354991,347.035093272684,348.59656193927555,10530854
2023-04-21,340.78924560546875,347.0350904382846,337.6663082977921,344.6929023487958,16523648
2023-04-24,336.6903991699219,342.3506896197634,329.8589997664742,338.83742232402057,20470625
2023-04-25,330.2493591308594,333.37229648205295,324.9794284104409,333.37229648205295,20949955
2023-04-26,339.81329345703125,343.7169497642572,327.32157540438783,327.7119350786036,25018346
2023-04-27,336.6903991699219,339.61814177139945,332.0060229205729,338.6422275709069,14757831
